word;total;ge_std;co_std;male;female;unknown;ar;cl;co;es;mx;pe;ve
pijama;533;80.786;39.363;120;143;270;50;106;45;122;88;106;16
victor;941;182.402;53.254;479;118;344;101;203;64;135;99;134;205
lado;7675;682.072;228.623;2780;1793;3102;1287;822;1476;944;1001;1183;962
haria;1036;103.036;32.960;374;231;431;147;141;159;196;153;155;85
boludo;628;97.828;215.333;224;105;299;578;12;9;5;6;12;6
insomnio;1102;101.046;54.252;347;278;477;170;107;132;106;252;203;132
loca;3196;373.698;129.179;816;885;1495;732;370;487;400;354;414;439
#repost;7772;828.184;1033.154;2874;1658;3240;301;607;2097;810;412;534;3011
movil;2132;194.150;246.872;729;508;895;145;184;149;801;95;375;383
river;1902;406.069;456.728;1022;212;668;1295;84;249;94;52;100;28
plaza;8734;1263.599;521.234;4036;1544;3154;736;2133;770;898;1542;1587;1068
fracaso;842;136.596;63.843;394;129;319;112;48;139;125;73;98;247
quinta;822;141.043;117.829;417;135;270;81;382;46;63;85;68;97
a;557370;67109.379;8731.098;226333;108327;222710;89412;70697;77373;88197;72735;70651;88305
millones;3062;594.187;145.746;1639;454;969;325;378;545;605;253;347;609
wanna;647;59.079;44.620;257;148;242;48;86;93;82;149;152;37
diferentes;1086;147.733;72.036;407;197;482;71;88;256;165;172;101;233
chavista;855;150.877;280.978;403;115;337;4;15;23;23;4;27;759
goles;1598;358.534;56.885;894;177;527;271;164;289;187;166;293;228
puras;608;56.977;87.566;239;137;232;21;253;23;4;141;92;74
tour;1021;151.302;46.222;384;172;465;75;187;152;211;152;140;104
km;4875;1137.210;638.398;2911;752;1212;190;1283;341;414;1886;490;271
tod;1408;207.491;132.757;639;238;531;33;316;177;385;132;72;293
lady;557;68.719;25.999;192;114;251;49;103;69;68;113;102;53
payaso;547;95.866;27.181;252;73;222;109;45;77;62;52;87;115
confirma;547;119.090;20.554;294;57;196;42;96;78;86;63;79;103
encontrado;777;36.865;61.917;301;244;232;39;99;68;198;143;175;55
droga;622;89.500;47.765;271;105;246;124;61;74;91;46;48;178
junta;1089;180.699;84.823;519;165;405;139;267;66;152;276;79;110
experiencias;668;72.947;36.115;250;140;278;49;58;154;117;84;95;111
mac;573;70.193;39.401;264;124;185;63;151;71;62;78;116;32
mind;529;63.516;35.725;223;104;202;37;71;100;58;136;89;38
rajoy;1116;369.930;384.189;788;80;248;4;26;2;1030;2;9;43
katy;878;345.575;215.796;691;73;114;21;49;607;17;29;128;27
saco;1550;188.373;93.370;649;301;600;369;332;178;149;126;220;176
tigres;607;74.144;148.821;261;119;227;13;5;10;16;409;23;131
terminado;1701;386.667;180.900;1006;277;418;123;602;171;266;331;126;82
bolas;934;159.086;162.172;393;128;413;259;41;56;41;21;64;452
t;6270;723.594;453.604;1996;1418;2856;989;389;607;647;623;1486;1529
banco;2506;314.721;270.786;1062;476;968;908;404;169;140;170;266;449
dormido;1147;158.324;50.789;485;200;462;149;185;102;179;223;214;95
100;3815;630.620;118.882;1771;563;1481;413;673;608;545;445;431;700
depto;609;62.650;169.259;138;263;208;117;459;10;1;20;2;0
esperando;6863;601.100;312.022;2707;1599;2557;870;1645;892;688;804;1036;928
mexicano;695;118.006;139.380;317;97;281;17;39;63;64;413;39;60
par;2635;341.159;85.399;1021;489;1125;511;390;383;334;252;446;319
pensamientos;799;115.760;51.230;286;142;371;63;85;174;78;127;80;192
acabo;16869;2042.390;859.891;7296;3347;6226;1391;2223;4014;2377;2906;2272;1686
salga;1709;144.659;47.157;671;404;634;270;266;226;327;191;229;200
#verano;833;108.260;175.379;390;269;174;103;91;6;503;8;107;15
cero;1480;184.717;81.839;582;281;617;226;386;181;172;133;195;187
aceptar;785;76.794;47.467;307;173;305;93;50;138;63;118;136;187
situacion;2179;291.860;133.074;913;390;876;223;266;356;231;243;264;596
combo;599;99.108;90.956;205;98;296;29;61;272;35;36;28;138
sopa;514;76.055;16.030;223;84;207;67;81;73;86;50;97;60
open;564;85.767;45.372;262;94;208;45;77;45;81;81;177;58
from;4239;547.241;285.770;1997;912;1330;219;430;1105;541;599;519;826
pagar;1956;322.768;33.813;957;314;685;263;334;286;246;239;280;308
simple;2139;282.133;55.809;895;388;856;255;307;296;235;289;387;370
carton;505;145.204;83.435;330;49;126;25;34;21;33;35;249;108
regalos;1565;141.656;72.684;556;366;643;135;308;319;220;239;140;204
prohibido;589;74.110;33.244;201;120;268;84;42;71;75;70;98;149
idea;3794;380.170;148.460;1522;828;1444;594;824;395;522;504;573;382
canales;608;111.608;35.031;317;94;197;77;112;77;56;37;113;136
hacemos;2277;292.021;121.507;755;469;1053;441;162;308;408;214;261;483
tlalpan;684;160.860;257.206;342;44;298;1;0;2;0;681;0;0
estudios;951;130.000;71.200;397;167;387;49;139;118;115;269;84;177
need;1143;72.547;60.632;440;300;403;100;132;140;177;248;240;106
cuauhtemoc;3091;706.422;1150.675;1567;230;1294;0;5;5;23;3051;5;2
feat;1429;281.621;87.337;724;170;535;74;267;305;147;288;210;138
#lol;563;119.098;89.110;275;52;236;4;35;35;27;119;80;263
tenga;3124;361.561;47.218;1129;644;1351;513;396;500;410;428;409;468
hs;1058;129.496;367.735;492;236;330;985;12;15;20;7;15;4
todo;69825;7048.048;1378.952;25729;15328;28768;12261;8319;11118;9067;8857;10220;9983
palabras;5373;551.709;249.266;2162;1157;2054;624;423;1080;915;591;694;1046
bicentenario;574;109.546;85.245;260;65;249;46;218;11;9;79;27;184
sevilla;1956;481.164;674.626;1205;329;422;12;30;31;1809;49;6;19
entrenamiento;1367;191.649;53.484;509;243;615;161;217;167;280;140;154;248
den;1388;168.693;38.265;566;268;554;178;186;177;202;208;160;277
matar;1713;205.796;92.399;627;343;743;414;183;209;165;174;245;323
extra;532;105.025;31.491;281;71;180;44;63;32;86;122;87;98
region;14855;2079.635;5204.806;7224;3143;4488;100;13918;113;51;42;568;63
cena;2874;365.989;189.552;1300;572;1002;360;361;188;786;506;337;336
rata;517;85.617;37.516;206;75;236;82;43;69;31;47;115;130
muerte;3391;464.121;181.458;1492;607;1292;434;424;457;456;345;389;886
debemos;1809;242.264;195.365;715;325;769;102;198;300;141;162;229;677
lindos;1166;102.080;116.526;276;415;475;325;299;184;17;86;185;70
@eltiempo;1604;695.753;587.751;1338;125;141;8;2;1562;5;5;6;16
negra;1856;227.230;96.263;582;412;862;449;299;262;236;140;201;269
noooo;977;68.149;50.810;280;293;404;184;218;126;81;153;135;80
encuesta;639;121.618;24.150;314;78;247;104;120;93;119;72;61;70
cansado;1086;241.497;45.612;581;103;402;209;152;109;102;177;212;125
listas;860;136.830;90.112;440;177;243;46;315;84;149;82;84;100
elegir;1073;115.768;42.355;423;224;426;219;103;160;197;116;130;148
alli;2252;261.978;312.863;966;459;827;112;75;218;720;77;233;817
traves;1978;351.358;161.045;701;289;988;91;207;539;304;214;169;454
alto;3423;507.925;231.218;1455;555;1413;753;858;383;365;268;291;505
express;697;147.500;91.771;380;85;232;24;239;44;42;226;64;58
latina;857;22.480;63.903;305;261;291;48;81;93;72;166;212;185
news;963;240.208;122.389;511;51;401;21;350;91;154;72;248;27
#tattoo;813;274.469;155.508;134;92;587;16;49;49;457;143;61;38
hubo;1289;211.673;33.884;615;199;475;233;165;195;124;193;178;201
siguen;2618;419.858;82.906;1199;399;1020;405;331;365;300;369;306;542
programas;824;147.548;27.201;429;135;260;102;119;98;139;80;161;125
#home;623;140.507;80.324;368;106;149;24;57;80;34;51;256;121
responde;1207;268.411;175.185;335;174;698;116;108;132;77;74;134;566
line;673;117.356;39.923;298;89;286;154;83;57;58;66;137;118
gomez;729;154.185;48.766;376;74;279;46;64;186;116;100;74;143
buenas;14391;2017.528;1038.334;5204;2607;6580;867;2135;1675;4060;1774;1315;2565
encuentras;757;113.518;54.493;250;140;367;17;68;159;113;178;125;97
valdivia;759;108.014;267.613;360;144;255;2;715;8;5;1;26;2
compra;1711;255.163;93.240;642;287;782;116;230;371;292;194;169;339
juntas;1070;130.251;60.320;222;366;482;217;101;136;166;217;179;54
cansada;865;190.752;50.418;71;428;366;186;138;101;75;95;195;75
magico;758;80.829;43.277;266;166;326;49;90;163;118;160;110;68
presion;586;89.668;13.073;288;109;189;75;94;87;76;62;96;96
trujillo;1008;194.887;327.897;561;227;220;1;21;12;4;5;885;80
agradable;596;96.692;36.961;288;96;212;27;140;111;59;95;69;95
life;1903;190.322;96.694;776;418;709;139;244;270;319;434;312;185
ah;5997;672.643;446.165;2342;1224;2431;1615;711;526;383;797;1321;644
jefa;537;73.655;43.096;164;114;259;63;82;20;53;153;108;58
be;3725;368.690;222.458;1480;817;1428;240;407;469;716;841;703;349
material;648;122.197;58.836;224;90;334;45;117;78;66;76;51;215
diario;3237;678.684;238.000;1271;325;1641;993;405;451;341;360;317;370
argentinos;776;115.691;140.719;378;147;251;422;115;60;29;18;61;71
#odontologia;513;263.129;179.942;474;0;39;0;8;2;1;21;0;481
jaja;15428;1717.912;1110.013;6130;3159;6139;4372;2249;1441;1392;2657;2228;1089
llueva;566;51.287;69.872;199;133;234;233;86;73;58;50;34;32
kilos;752;126.295;49.051;368;117;267;71;121;53;87;111;205;104
v;4231;644.970;331.786;1761;666;1804;252;507;877;348;782;1134;331
decirlo;524;53.144;23.219;213;114;197;69;102;52;109;63;79;50
estudiantes;2072;317.557;350.361;877;324;871;132;237;241;205;90;90;1077
raro;2360;275.239;85.605;937;469;954;504;270;316;345;319;368;238
dinero;3691;592.028;239.200;1699;565;1427;173;262;560;638;690;513;855
alegrias;504;52.374;31.459;209;109;186;58;45;131;60;42;74;94
queriendo;649;45.938;34.932;227;166;256;142;40;119;58;102;102;86
sientes;954;96.763;55.485;332;215;407;46;77;184;128;177;157;185
venia;539;71.822;32.383;233;98;208;118;120;44;65;89;58;45
fome;588;55.651;213.004;223;132;233;4;567;0;1;2;9;5
@radiocorazonpe;551;312.061;208.258;5;2;544;0;0;0;0;0;551;0
series;877;148.113;57.728;437;141;299;103;164;92;238;100;113;67
recomiendo;1831;213.879;228.053;806;382;643;99;171;158;204;141;299;759
#hoy;728;198.445;117.605;187;78;463;84;21;98;116;26;27;356
photo;11913;809.971;953.548;4327;3044;4542;853;1682;3199;1395;1219;2820;745
presento;1054;200.163;83.092;556;156;342;117;107;149;332;90;108;151
moto;1013;196.454;57.401;522;131;360;215;125;146;233;91;105;98
-;122635;18991.880;5036.476;52656;18969;51010;9479;18868;19082;12460;22967;22786;16993
drama;602;65.592;23.770;227;126;249;84;66;53;90;116;116;77
costo;783;100.553;52.518;346;150;287;85;148;95;45;113;89;208
dice;13322;1666.971;585.928;5344;2517;5461;3071;1232;1908;1640;1520;1878;2073
extranya;1208;103.452;47.441;431;288;489;250;168;158;101;191;200;140
rt;18392;2566.952;2220.662;8147;3241;7004;735;2651;2077;2745;787;2079;7318
grandes;5660;797.638;380.915;2576;1013;2071;386;611;1227;1358;557;528;993
correo;1280;183.895;103.374;578;222;480;40;239;146;119;190;176;370
familiares;750;100.464;64.424;309;134;307;61;83;126;93;68;74;245
gob;890;180.904;175.304;454;99;337;77;94;75;21;45;57;521
explica;641;76.002;30.237;273;128;240;126;66;57;125;62;113;92
eso;39575;4652.194;681.889;15835;7820;15920;5468;4789;6291;5311;5188;5753;6775
baila;736;84.654;40.929;200;193;343;179;87;131;80;51;108;100
maravilloso;1682;46.145;119.386;594;508;580;85;399;362;304;172;128;232
agregue;1059;296.885;184.309;612;29;418;78;77;146;70;564;65;59
pelota;767;142.142;85.833;374;98;295;269;172;46;62;22;116;80
#fiesta;563;86.286;45.865;225;89;249;105;40;67;173;70;46;62
menu;571;62.043;66.161;193;127;251;40;94;27;223;61;75;51
termino;2447;241.117;180.103;981;539;927;696;404;269;133;303;406;236
can't;942;89.716;59.135;394;217;331;63;159;106;128;195;218;73
mios;696;64.444;36.674;256;159;281;75;57;153;142;86;73;110
android;973;230.140;25.318;537;80;356;111;149;125;175;144;108;161
cualquier;5299;693.444;205.896;2039;978;2282;869;638;754;630;600;636;1172
varios;1833;281.906;75.249;862;306;665;209;388;220;195;198;307;316
gallina;535;64.470;34.813;212;104;219;117;61;103;51;44;118;41
psuv;1111;209.085;405.844;563;148;400;0;14;7;10;0;1;1079
agradecido;632;190.616;68.728;405;24;203;39;88;121;72;36;46;230
white;591;90.515;28.489;240;93;258;37;90;75;133;88;76;92
ladrones;539;74.056;61.914;252;104;183;44;51;114;37;48;41;204
#like;598;186.143;122.331;402;36;160;15;39;18;47;18;108;353
onda;3242;442.708;522.150;1065;646;1531;1359;974;59;42;538;208;62
diciendo;1695;209.867;62.916;675;323;697;351;146;232;269;221;212;264
#video;572;147.639;46.814;216;32;324;135;22;49;92;54;70;150
internet;3261;504.342;108.843;1412;506;1343;347;604;337;383;558;495;537
grey;554;54.243;26.561;165;143;246;41;76;56;118;79;106;78
sere;1344;134.748;53.198;500;295;549;97;183;238;170;215;260;181
necesito;8670;913.099;448.126;2425;2303;3942;2185;1229;1067;738;1197;1162;1092
enero;1781;276.298;115.611;801;280;700;203;269;263;280;132;153;481
bajar;1337;166.458;34.259;529;254;554;236;219;170;179;151;223;159
saldra;635;83.189;46.711;288;123;224;29;64;75;114;69;110;174
heroes;760;136.078;44.754;392;120;248;41;163;118;86;157;72;123
soledad;1274;124.460;96.250;481;282;511;177;123;385;105;184;188;112
repostapp;4118;563.859;539.721;1616;728;1774;116;397;1187;450;303;158;1507
#copaamerica;603;99.504;97.617;300;101;202;50;256;63;2;13;190;29
precio;2769;393.371;219.842;1207;474;1088;191;279;554;393;260;276;816
tengo;36371;4168.978;1956.572;11300;8428;16643;9416;4763;3933;4805;4916;5114;3424
defensa;1559;394.819;82.556;961;200;398;181;142;199;227;160;265;385
tranquila;1118;80.501;37.814;292;373;453;199;141;136;169;124;221;128
#beautiful;711;8.544;34.263;229;236;246;76;89;154;82;128;58;124
want;1435;115.284;70.166;532;346;557;116;196;186;230;287;293;127
hubiese;795;96.561;46.529;355;163;277;161;149;91;97;27;123;147
ustedes;6247;810.077;457.266;2483;1150;2614;862;692;1345;236;917;601;1594
completed;640;157.995;107.187;395;137;108;2;315;89;114;49;70;1
mayoria;1745;340.068;199.447;939;262;544;157;188;166;254;134;153;693
but;1868;132.930;124.922;727;473;668;152;222;210;260;487;384;153
anda;3709;480.085;312.453;1395;697;1617;1202;553;251;493;457;345;408
mesa;2037;279.118;89.735;852;357;828;358;257;245;308;177;243;449
cola;2046;311.487;246.630;922;330;794;208;273;98;204;123;316;824
siempre;37834;3420.740;819.724;13752;8766;15316;6086;3954;6488;4949;5243;5489;5625
ahi;12200;1383.501;425.913;5014;2479;4707;2222;2121;1413;1670;1730;2024;1020
right;944;98.206;50.068;409;213;322;118;149;102;124;150;230;71
corto;1367;169.954;53.328;515;264;588;253;276;144;215;146;174;159
palermo;578;51.936;145.492;204;136;238;410;60;35;12;5;34;22
febrero;1222;127.441;39.559;460;262;500;184;208;133;207;180;107;203
could;557;72.501;42.883;258;113;186;40;45;60;103;141;126;42
reir;2203;202.003;57.416;649;589;965;410;343;362;263;280;283;262
pasen;984;123.596;31.400;374;188;422;174;85;145;114;150;170;146
callate;933;153.727;156.765;263;187;483;483;71;27;59;99;79;115
va;27784;3347.850;1136.344;11144;5396;11244;5704;2664;3669;5363;3219;3318;3847
echa;692;47.438;64.321;267;177;248;48;73;97;227;136;57;54
atardecer;806;71.529;43.087;339;196;271;69;192;138;131;73;92;111
nooo;959;70.323;52.402;295;265;399;234;168;129;78;131;132;87
valparaiso;2097;438.894;756.160;997;195;905;46;2014;6;4;1;22;4
preciosa;1117;62.740;97.763;441;318;358;70;137;128;373;143;150;116
juntos;3927;482.770;87.763;1568;752;1607;651;460;589;435;565;560;667
6d;1068;173.312;393.548;485;159;424;0;1;12;7;0;3;1045
impunidad;504;33.451;59.641;193;181;130;46;44;167;20;51;28;148
#shazam;571;106.171;76.948;282;215;74;2;144;117;2;67;205;34
creacion;602;74.675;29.040;252;115;235;50;85;80;119;69;68;131
poder;8841;915.363;391.962;3590;1899;3352;1400;920;1263;1217;889;1103;2049
rivera;722;163.659;131.593;400;73;249;12;38;92;393;100;37;50
#goodmorning;614;38.371;101.689;191;175;248;38;24;24;310;64;52;102
votar;3163;435.818;363.771;1439;581;1143;617;213;380;433;146;187;1187
aprendido;539;30.925;28.302;199;144;196;25;69;81;118;93;70;83
une;545;75.115;30.361;222;95;228;43;58;123;94;64;55;108
parecen;917;79.034;29.109;342;215;360;98;82;157;154;139;141;146
curso;2362;223.978;138.042;817;550;995;343;369;221;624;298;285;222
fumar;605;80.749;30.653;218;114;273;138;118;53;78;84;63;71
miguel;5164;504.653;785.590;2233;1224;1707;182;631;147;299;2227;1388;290
#halloween;794;114.932;58.389;328;132;334;17;110;176;184;127;68;112
bogota;6359;937.751;2136.239;2823;1055;2481;83;88;5751;229;36;68;104
enserio;826;109.988;73.078;220;204;402;100;50;84;235;138;186;33
discurso;1015;128.539;69.678;478;225;312;194;128;116;150;55;102;270
palma;649;135.190;118.128;237;72;340;28;41;58;357;41;87;37
38;680;223.574;105.597;482;66;132;86;40;51;62;34;74;333
clases;4091;399.538;227.070;1529;908;1654;548;894;306;400;440;861;642
debate;1757;378.256;189.513;1011;287;459;385;101;313;594;76;141;147
tonta;693;55.027;58.960;177;229;287;103;104;62;221;81;87;35
supe;501;46.680;25.514;185;114;202;55;119;75;40;86;66;60
conversaciones;555;58.660;26.030;180;129;246;70;61;93;117;46;105;63
hecha;951;55.381;36.567;339;254;358;127;146;111;191;76;140;160
lee;1373;193.143;51.161;540;237;596;134;216;169;196;142;266;250
asado;842;105.794;147.942;351;159;332;409;237;65;42;27;47;15
humanidad;800;86.587;32.469;330;168;302;67;107;163;87;123;110;143
unica;3347;400.967;96.269;1138;704;1505;556;395;559;438;351;440;608
23;1866;291.069;35.293;846;293;727;269;248;241;326;225;257;300
final;10851;1674.680;359.461;5144;1826;3881;1657;1278;1403;2298;1299;1578;1338
torta;1123;114.631;96.333;368;263;492;278;167;91;21;133;144;289
esposa;926;162.973;87.017;464;139;323;52;67;214;27;152;155;259
hayan;711;95.221;18.091;304;128;279;104;109;83;133;79;96;107
ana;1226;163.393;83.259;502;220;504;95;110;176;350;170;161;164
felicito;632;83.692;64.098;283;119;230;141;51;99;32;55;46;208
divino;595;51.868;52.877;164;173;258;170;66;118;33;44;39;125
renuncia;539;116.036;47.113;294;62;183;44;116;58;32;54;70;165
eduardo;734;98.093;54.337;331;138;265;96;191;66;77;84;49;171
entero;1190;129.817;47.343;435;252;503;204;179;130;249;107;171;150
araucania;549;114.407;192.926;215;56;278;0;515;0;0;0;34;0
ir;18898;2045.996;1055.298;6508;4157;8233;4900;2543;1909;2375;2769;2741;1661
donya;578;99.077;44.090;280;85;213;32;88;115;30;153;68;92
pana;1759;435.833;458.020;1012;141;606;39;93;219;55;15;59;1279
pinta;1359;199.249;138.554;563;223;573;361;102;185;418;119;92;82
voy;27467;3466.580;2191.593;8604;5998;12865;8794;2981;2864;3677;3354;3446;2351
hara;1498;180.181;105.092;618;292;588;105;156;223;209;171;199;435
___;503;94.933;40.728;183;66;254;10;71;77;97;141;56;51
todas;11775;1099.847;234.557;4303;2686;4786;2015;1640;1800;1593;1255;1675;1797
24;2755;459.478;82.227;988;428;1339;360;339;481;373;346;319;537
encontrar;2585;233.840;73.357;931;601;1053;369;334;389;332;438;472;251
bebe;3996;424.552;231.586;1100;1074;1822;390;449;610;280;992;668;607
#feriadelachinita;653;373.547;246.811;649;1;3;0;0;0;0;0;0;653
horror;873;45.211;26.563;261;269;343;155;110;100;130;160;90;128
iribarren;722;402.214;272.009;705;0;17;0;0;0;0;0;2;720
#vacaciones;1132;125.005;73.812;503;253;376;123;248;140;242;59;104;216
talento;1804;272.940;154.814;721;289;794;78;185;485;219;173;200;464
bellos;649;78.360;58.557;161;182;306;31;119;79;39;80;95;206
crecimiento;587;125.556;23.933;319;68;200;45;103;86;71;69;115;98
completamente;680;69.515;16.577;213;165;302;76;120;118;85;90;91;100
disponible;4209;243.582;213.124;1505;1125;1579;190;663;726;601;503;658;868
numero;2601;364.144;68.556;1156;458;987;309;363;316;391;383;330;509
buses;744;83.827;178.172;342;181;221;4;503;81;21;3;86;46
trajo;550;44.015;35.222;182;140;228;141;82;84;20;78;73;72
alexis;516;97.257;74.442;259;67;190;30;236;85;38;22;56;49
villa;1977;302.253;107.753;810;311;856;441;349;291;89;232;286;289
revolucion;2117;227.628;545.127;858;444;815;100;61;73;84;199;66;1534
aires;5829;665.505;1645.317;2207;1186;2436;4527;725;143;67;54;149;164
decisiones;1053;100.220;49.335;441;243;369;89;80;192;135;193;175;189
dt;680;195.679;69.057;427;36;217;219;73;89;13;47;155;84
hago;5412;620.038;263.604;1746;1215;2451;1314;545;671;694;743;880;565
presupuesto;619;112.696;46.825;315;90;214;48;66;78;65;82;90;190
vida;44317;4001.959;1672.139;15332;10520;18465;5845;3954;9320;5435;6685;5853;7225
eran;1830;236.438;42.249;749;337;744;310;291;185;255;231;274;284
taxi;984;116.658;60.002;413;195;376;124;137;191;58;142;239;93
joaquin;644;90.650;91.673;268;110;266;54;285;41;130;70;33;31
alan;718;163.139;141.113;337;51;330;136;21;17;19;116;400;9
deportes;544;124.134;30.745;314;68;162;59;72;67;137;100;61;48
descubrir;560;66.403;54.730;224;110;226;35;54;84;197;79;69;42
punto;4587;536.741;157.066;1948;924;1715;435;455;629;848;740;743;737
repetir;632;62.772;37.562;222;143;267;100;57;81;167;57;93;77
espanyoles;713;159.939;169.729;410;94;209;11;45;44;484;19;36;74
@feriachinitaofi;645;372.391;243.787;645;0;0;0;0;0;0;0;0;645
nostalgia;512;45.081;12.144;209;121;182;62;76;76;77;88;81;52
mirando;1370;154.717;138.424;490;288;592;493;178;147;180;103;196;73
excusas;537;48.539;27.639;193;125;219;88;57;118;64;33;86;91
pudiera;579;37.323;24.137;174;169;236;88;53;98;126;79;67;68
@deezercolombia;566;148.736;139.320;279;17;270;0;0;315;251;0;0;0
hambre;4854;599.360;222.409;1897;930;2027;590;726;539;350;889;747;1013
prometo;818;66.335;49.012;240;229;349;146;47;100;154;160;155;56
seras;1114;109.769;61.168;394;252;468;102;91;242;121;140;188;230
karma;746;31.390;26.595;238;224;284;106;60;132;111;130;124;83
genesis;842;391.940;277.363;732;26;84;10;28;6;11;12;26;749
dato;1113;161.985;124.107;496;188;429;105;437;126;100;97;150;98
orgulloso;888;246.390;53.819;550;58;280;96;74;199;193;79;94;153
play;2113;168.803;191.182;755;516;842;218;200;249;167;127;580;572
cuesta;1943;226.041;100.294;821;392;730;418;245;171;375;200;188;346
formacion;726;136.923;58.423;288;88;350;41;44;88;177;129;69;178
catia;521;72.432;196.038;226;204;91;0;1;0;0;1;0;519
andas;833;90.179;60.636;321;174;338;149;101;91;50;240;102;100
#tagsforlikes;923;354.731;206.393;116;90;717;29;83;56;104;31;25;595
importar;550;50.302;41.327;173;139;238;65;32;147;40;82;66;118
ron;565;104.006;40.090;283;77;205;22;100;125;72;33;97;116
ccs;678;140.823;225.904;361;80;237;2;8;19;11;17;12;609
work;1087;190.563;62.002;550;169;368;81;145;115;163;278;171;134
:(;17847;1430.752;1249.891;5918;4534;7395;1338;3298;2175;983;3720;4311;2022
vive;3420;450.789;257.412;1365;621;1434;339;280;762;371;369;352;947
music;2190;408.905;139.107;1081;281;828;149;505;491;281;313;272;179
happy;2891;193.681;115.049;954;775;1162;164;450;481;473;405;501;417
mandar;1028;121.821;60.796;398;203;427;250;127;92;110;212;140;97
hey;1514;273.679;95.061;721;197;596;70;179;273;117;274;280;321
';33107;3390.573;1831.814;13169;7126;12812;3052;3087;5295;8265;4249;5453;3706
ellos;7669;878.542;580.671;3050;1542;3077;789;704;1060;1051;800;888;2377
dando;2897;415.815;93.885;1187;486;1224;367;457;346;538;374;291;524
gustan;2261;260.604;83.746;726;508;1027;290;322;325;407;444;283;190
sorry;1069;118.627;56.056;350;241;478;154;235;115;95;191;192;87
@rppnoticias;623;127.814;233.709;330;75;218;2;1;1;0;0;619;0
#elregimenescoca;534;304.848;200.952;4;0;530;0;0;2;0;0;0;532
@larepublica_pe;667;138.349;251.221;382;138;147;0;0;1;1;0;665;0
volvemos;781;87.306;94.106;302;160;319;138;80;85;312;52;80;34
sali;1075;133.882;120.240;370;219;486;389;204;91;26;167;134;64
pasaba;541;68.384;38.130;201;104;236;158;67;53;92;52;63;56
=);1500;196.771;125.041;622;273;605;107;315;90;104;276;415;193
emergencia;531;91.000;57.984;166;92;273;46;185;30;26;40;110;94
falso;795;113.583;53.376;350;136;309;107;92;91;112;55;112;226
tema;5230;813.290;277.024;2307;811;2112;894;903;655;586;296;729;1167
#sun;896;128.255;63.820;446;238;212;160;118;72;248;55;135;108
panorama;585;120.578;111.346;200;72;313;20;335;43;44;53;43;47
#instagay;621;198.613;132.981;225;0;396;7;152;0;56;0;41;365
habla;4517;629.446;268.473;1882;779;1856;1136;435;606;576;296;693;775
cole;682;127.202;99.514;177;133;372;294;34;39;107;35;154;19
bar;4180;601.957;268.268;1885;722;1573;405;940;659;647;844;543;142
formas;1027;111.791;31.309;371;219;437;126;130;119;205;173;145;129
tratando;828;90.117;43.165;325;172;331;115;158;139;26;139;118;133
negocio;1397;258.485;83.898;690;183;524;102;162;307;195;156;151;324
javier;1097;198.611;119.610;568;171;358;45;128;80;239;125;390;90
filosofia;564;70.449;38.357;207;110;247;91;41;45;152;101;67;67
sangre;1727;189.867;60.651;655;359;713;254;165;220;261;205;264;358
that;2795;226.080;156.563;1138;690;967;201;369;398;430;630;545;222
valencia;1982;349.237;466.476;1050;375;557;34;54;108;1282;16;34;454
fuerzas;1200;134.101;76.987;537;269;394;126;124;177;209;89;153;322
presos;744;107.037;179.660;320;125;299;82;34;35;32;14;36;511
ninyos;4504;446.099;236.742;1783;987;1734;223;671;905;715;635;474;881
version;2874;463.029;142.928;1284;428;1162;194;437;465;310;374;439;655
up;2492;275.935;111.596;951;515;1026;193;353;331;438;497;441;239
i;24386;2308.578;1256.776;9551;5465;9370;1861;3178;2772;5391;4320;4407;2457
corazones;976;125.189;37.691;349;190;437;159;129;201;92;129;103;163
alcanza;681;87.481;45.926;279;126;276;117;80;159;34;78;64;149
perra;989;142.879;41.117;294;208;487;171;107;210;86;152;131;132
true;721;67.300;52.227;311;177;233;33;114;131;82;133;181;47
lejos;3287;333.101;100.006;1212;720;1355;638;508;530;388;434;455;334
lomas;578;148.194;136.461;360;78;140;39;62;13;3;389;36;36
ambas;506;67.308;12.526;205;91;210;63;88;80;62;61;64;88
parcial;666;82.601;93.378;189;161;316;251;27;188;20;28;120;32
distancia;1296;83.162;50.081;438;346;512;186;108;245;155;230;222;150
trabajo;14092;1781.732;343.165;6111;2696;5285;1328;2117;2160;1994;2207;1885;2401
check;1375;187.873;97.101;639;264;472;72;332;190;162;232;294;93
at;49689;7835.927;7065.808;25014;9538;15137;2775;9269;2391;3059;21613;8490;2092
regalar;679;77.513;14.583;258;138;283;82;99;119;98;88;81;112
ios;675;125.000;44.369;350;100;225;22;124;52;90;142;117;128
rodrigo;528;99.519;76.631;264;68;196;60;244;43;52;39;75;15
toman;525;77.000;13.723;208;87;230;94;55;75;61;83;72;85
reina;2195;252.904;139.988;927;446;822;190;451;477;346;121;209;401
ciego;546;64.583;25.807;211;108;227;68;63;80;65;77;59;134
chiste;1135;158.437;52.088;490;197;448;192;229;111;78;186;153;186
flor;1036;105.401;52.650;376;228;432;258;110;115;114;161;155;123
subiendo;520;79.122;25.270;217;82;221;50;97;80;111;54;45;83
fecha;1935;336.219;81.390;776;263;896;262;443;218;193;254;262;303
otras;3188;347.109;69.651;1350;677;1161;371;378;474;552;527;422;464
viejas;599;78.450;30.116;217;114;268;107;123;118;56;81;56;58
